"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"上午 01:10:12.2729416","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2730128","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"上午 01:10:12.2730483","Akagi64.exe","6696","RegQueryValue","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32\InprocServer32","NAME NOT FOUND","Length: 12"
"上午 01:10:12.2730737","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32","SUCCESS","Query: Name"
"上午 01:10:12.2730998","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2731244","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"上午 01:10:12.2731472","Akagi64.exe","6696","RegQueryValue","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32\(Default)","BUFFER OVERFLOW","Length: 12"
"上午 01:10:12.2731677","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32","SUCCESS","Query: Name"
"上午 01:10:12.2731890","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2732125","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"上午 01:10:12.2732340","Akagi64.exe","6696","RegQueryValue","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32\(Default)","SUCCESS","Type: REG_EXPAND_SZ, Length: 68, Data: %SystemRoot%\system32\propsys.dll"
"上午 01:10:12.2732571","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32","SUCCESS","Query: Name"
"上午 01:10:12.2732800","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2733017","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"上午 01:10:12.2733238","Akagi64.exe","6696","RegQueryValue","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32\(Default)","SUCCESS","Type: REG_EXPAND_SZ, Length: 68, Data: %SystemRoot%\system32\propsys.dll"
"上午 01:10:12.2733473","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32","SUCCESS","Query: Name"
"上午 01:10:12.2733678","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2733906","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"上午 01:10:12.2734128","Akagi64.exe","6696","RegQueryValue","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32\ThreadingModel","SUCCESS","Type: REG_SZ, Length: 10, Data: Both"
"上午 01:10:12.2734373","Akagi64.exe","6696","RegCloseKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InProcServer32","SUCCESS",""
"上午 01:10:12.2734564","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}","SUCCESS","Query: Name"
"上午 01:10:12.2734769","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2734994","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InprocHandler32","NAME NOT FOUND","Desired Access: Query Value"
"上午 01:10:12.2735201","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2735397","Akagi64.exe","6696","RegOpenKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InprocHandler32","NAME NOT FOUND","Desired Access: Query Value"
"上午 01:10:12.2735597","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}","SUCCESS","Query: Name"
"上午 01:10:12.2735807","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2736033","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InprocHandler","NAME NOT FOUND","Desired Access: Query Value"
"上午 01:10:12.2736229","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2736535","Akagi64.exe","6696","RegOpenKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\InprocHandler","NAME NOT FOUND","Desired Access: Query Value"
"上午 01:10:12.2737246","Akagi64.exe","6696","RegOpenKey","HKCU","SUCCESS","Desired Access: Read"
"上午 01:10:12.2737492","Akagi64.exe","6696","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2737669","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes","REPARSE","Desired Access: Notify"
"上午 01:10:12.2737857","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes","SUCCESS","Desired Access: Notify"
"上午 01:10:12.2738091","Akagi64.exe","6696","RegCloseKey","HKCU","SUCCESS",""
"上午 01:10:12.2738802","Akagi64.exe","6696","RegCloseKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}","SUCCESS",""
"上午 01:10:12.2739196","Akagi64.exe","6696","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2739460","Akagi64.exe","6696","RegOpenKey","HKLM\Software\Microsoft\OLE","SUCCESS","Desired Access: Read"
"上午 01:10:12.2739681","Akagi64.exe","6696","RegQueryValue","HKLM\SOFTWARE\Microsoft\Ole\MaxSxSHashCount","NAME NOT FOUND","Length: 16"
"上午 01:10:12.2739890","Akagi64.exe","6696","RegCloseKey","HKLM\SOFTWARE\Microsoft\Ole","SUCCESS",""
"上午 01:10:12.2740906","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"上午 01:10:12.2741142","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2741317","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2741525","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\CLSID\{1F486A52-3CB1-48FD-8F50-B8DC300D9F9D}","NAME NOT FOUND","Desired Access: Read"
"上午 01:10:12.2741787","Akagi64.exe","6696","RegOpenKey","HKCR\CLSID\{1F486A52-3CB1-48FD-8F50-B8DC300D9F9D}","SUCCESS","Desired Access: Read"
"上午 01:10:12.2742025","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}","SUCCESS","Query: Name"
"上午 01:10:12.2742268","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2742501","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\TreatAs","NAME NOT FOUND","Desired Access: Query Value"
"上午 01:10:12.2742714","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2742914","Akagi64.exe","6696","RegOpenKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\TreatAs","NAME NOT FOUND","Desired Access: Query Value"
"上午 01:10:12.2743138","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}","SUCCESS","Query: Name"
"上午 01:10:12.2743383","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}","SUCCESS","Query: Name"
"上午 01:10:12.2743601","Akagi64.exe","6696","RegQueryKey","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2743834","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}","NAME NOT FOUND","Desired Access: Maximum Allowed"
"上午 01:10:12.2744055","Akagi64.exe","6696","RegQueryValue","HKCR\CLSID\{1f486a52-3cb1-48fd-8f50-b8dc300d9f9d}\ActivateOnHostFlags","NAME NOT FOUND","Length: 16"
